fp	LawNum	LawTitle	LawType	Era	Year	Num
平成29年/429CO0000000024_20180101_000000000000000.xml	平成二十九年政令第二十四号	民間公益活動を促進するための休眠預金等に係る資金の活用に関する法律施行令	CabinetOrder	Heisei	29	024
昭和25年/325M50010000094_20191227_501M60000200050.xml	昭和二十五年農林省令第九十四号	農林水産業施設災害復旧事業費国庫補助の暫定措置に関する法律施行規則	MinisterialOrdinance	Showa	25	094
昭和47年/347CO0000000149_20150801_000000000000000.xml	昭和四十七年政令第百四十九号	沖縄の復帰に伴う琉球政府の権利義務の承継等に関する政令	CabinetOrder	Showa	47	149
平成7年/407M50000040004_20161001_000000000000000.xml	平成七年大蔵省令第四号	阪神・淡路大震災に対処するための国家公務員等共済組合法の特例に関する省令	MinisterialOrdinance	Heisei	07	4
平成23年/423M60001000023_20161001_000000000000000.xml	平成二十三年環境省令第二十三号	地域における多様な主体の連携による生物の多様性の保全のための活動の促進等に関する法律第四条第六項に規定する環境大臣に対する協議に関する省令	MinisterialOrdinance	Heisei	23	23
昭和63年/363M50000100019_20191216_501M60000100080.xml	昭和六十三年厚生省令第十九号	臨床工学技士法施行規則	MinisterialOrdinance	Showa	63	19
平成5年/405AC0000000054_20150801_000000000000000.xml	平成五年法律第五十四号	身体障害者の利便の増進に資する通信・放送身体障害者利用円滑化事業の推進に関する法律	Act	Heisei	05	54
昭和36年/336M50000008006_20191214_501M60000008063.xml	昭和三十六年自治省令第六号	消防法施行規則	MinisterialOrdinance	Showa	36	6
平成23年/423CO0000000166_20150801_000000000000000.xml	平成二十三年政令第百六十六号	独立行政法人雇用・能力開発機構法の廃止に伴う関係政令の整備及び経過措置に関する政令　抄	CabinetOrder	Heisei	23	166
平成10年/410AC0000000036_20150801_000000000000000.xml	平成十年法律第三十六号	中部国際空港の設置及び管理に関する法律	Act	Heisei	10	36
令和2年/502M60080000008_20200401_000000000000000.xml	令和二年原子力規制委員会規則第八号	使用済燃料貯蔵施設の技術基準に関する規則	Rule	Reiwa	02	008
明治33年/133IO0000000409_20150801_000000000000000.xml	明治三十三年勅令第四百九号	明治三十三年勅令第四百九号（相続人曠欠ノ場合ニ於テ国庫ニ帰属シタル財産ノ引渡ニ関スル件）	ImperialOrder	Meiji	33	409
平成11年/411M50000042032_20161001_000000000000000.xml	平成十一年総理府・大蔵省令第三十二号	特定金融会社等の会計の整理に関する内閣府令	MinisterialOrdinance	Heisei	11	32
平成13年/413M60001f40001_20190701_501M60001f40001.xml	平成十三年財務省・厚生労働省・農林水産省・経済産業省・国土交通省・環境省令第一号	資源の有効な利用の促進に関する法律の規定に基づく立入検査をする職員の携帯する身分を示す証明書の様式を定める省令	MinisterialOrdinance	Heisei	13	1
昭和51年/351M50000408001_20190701_501M60000408003.xml	昭和五十一年通商産業省・自治省令第一号	石油コンビナート等特別防災区域における新設事業所等の施設地区の配置等に関する省令	MinisterialOrdinance	Showa	51	001
昭和61年/361CO0000000240_20150801_000000000000000.xml	昭和六十一年政令第二百四十号	中小企業投資育成株式会社法第五条第二項第一号の額を定める政令	CabinetOrder	Showa	61	240
令和元年/501M60000200009_20190701_000000000000000.xml	令和元年農林水産省令第九号	農業用ため池の管理及び保全に関する法律施行規則	MinisterialOrdinance	Reiwa	01	009
平成14年/414AC0000000156_20151001_424AC0000000098.xml	平成十四年法律第百五十六号	放送大学学園法	Act	Heisei	14	156
昭和23年/323AC0000000138_20191214_501AC0000000037.xml	昭和二十三年法律第百三十八号	旅館業法	Act	Showa	23	138
昭和33年/333CO0000000112_20150801_000000000000000.xml	昭和三十三年政令第百十二号	地すべり等防止法施行令	CabinetOrder	Showa	33	112
平成16年/416M60000040007_20161001_000000000000000.xml	平成十六年財務省令第七号	物価連動国債の取扱いに関する省令	MinisterialOrdinance	Heisei	16	7
昭和58年/358CO0000000181_20191216_501CO0000000183.xml	昭和五十八年政令第百八十一号	貸金業法施行令	CabinetOrder	Showa	58	181
昭和35年/335CO0000000292_20191226_501CO0000000212.xml	昭和三十五年政令第二百九十二号	障害者の雇用の促進等に関する法律施行令	CabinetOrder	Showa	35	292
平成17年/417AC1000000096_20150801_000000000000000.xml	平成十七年法律第九十六号	出入国管理及び難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律	Act	Heisei	17	96
平成26年/426M60001600001_20161001_000000000000000.xml	平成二十六年農林水産省・経済産業省・環境省令第一号	農林漁業の健全な発展と調和のとれた再生可能エネルギー電気の発電の促進に関する法律第五条第三項の主務省令で定める事項を定める省令	MinisterialOrdinance	Heisei	26	001
昭和36年/336AC0000000023_20150801_000000000000000.xml	昭和三十六年法律第二十三号	矯正医官修学資金貸与法	Act	Showa	36	23
